gvkey,conm,tic,datadate,fyear,gsector,ggroup,gind,gsubind,naics,sic,naics2,naics3,sic2,sic4
023753,DORMAN PRODUCTS INC,DORM,2025-12-31,2025,25,2510,251010,25101010,336390,3714,33,336,37,3714
023767,ATMEL CORP,ATML,2015-12-31,2015,45,4530,453010,45301020,334413,3674,33,334,36,3674
023793,PS BUSINESS PARKS,PSB,2021-12-31,2021,60,6010,601010,60101010,531120,6798,53,531,67,6798
023809,AUTOZONE INC,AZO,2025-08-31,2025,25,2550,255040,25504050,441330,5531,44,441,55,5531
023810,ION GEOPHYSICAL CORP,IOGPQ,2020-12-31,2020,10,1010,101010,10101020,541360,1382,54,541,13,1382
023812,REGENERON PHARMACEUTICALS,REGN,2025-12-31,2025,35,3520,352010,35201010,325412,2834,32,325,28,2834
023813,VIRACTA THERAPEUTICS INC,VIRX,2023-12-31,2023,35,3520,352010,35201010,325414,2836,32,325,28,2836
023818,EVOLENT HEALTH INC,EVH,2025-12-31,2025,35,3510,351030,35103010,513210,7372,51,513,73,7372
023856,FITBIT INC,FIT.2,2019-12-31,2019,45,4520,452030,45203010,334220,3663,33,334,36,3663
023864,EXTERRAN CORP,EXTN,2021-12-31,2021,10,1010,101010,10101020,213112,1389,21,213,13,1389
023898,RENTECH INC,RTKHQ,2016-12-31,2016,15,1510,151050,15105010,321999,2400,32,321,24,2400
023943,PMC-SIERRA INC,PMCS,2014-12-31,2014,45,4530,453010,45301020,334413,3674,33,334,36,3674
023945,CEPHALON INC,CEPH,2010-12-31,2010,35,3520,352010,35201010,325412,2834,32,325,28,2834
023978,UNITED STATES STEEL CORP,X,2024-12-31,2024,15,1510,151040,15104050,331110,3312,33,331,33,3312
023996,GLOBAL NET LEASE INC,GNL,2025-12-31,2025,60,6010,601010,60101010,531120,6798,53,531,67,6798
024021,HAEMONETICS CORP,HAE,2025-03-31,2024,35,3510,351010,35101020,339112,3841,33,339,38,3841
024032,JONES GROUP INC,JNY,2013-12-31,2013,25,2520,252030,25203010,315210,2330,31,315,23,2330
024040,IONIS PHARMACEUTICALS INC,IONS,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
024076,OLLIE'S BARGAIN OUTLET HLDGS,OLLI,2025-01-31,2024,25,2550,255030,25503030,455219,5331,45,455,53,5331
024084,CONFORMIS INC,CFMS,2022-12-31,2022,35,3510,351010,35101010,339113,3842,33,339,38,3842
024096,APEX GLOBAL BRANDS INC,APEX.1,2020-01-31,2019,25,2520,252030,25203010,533110,6794,53,533,67,6794
024099,LIFETIME BRANDS INC,LCUT,2025-12-31,2025,25,2520,252010,25201050,332215,3420,33,332,34,3420
024113,PANERA BREAD CO,PNRA,2016-12-31,2016,25,2530,253010,25301040,722513,5812,72,722,58,5812
024131,SPINDLETOP OIL & GAS CO,SPND,2025-12-31,2025,10,1010,101020,10102020,211120,1311,21,211,13,1311
024171,DESIGNER BRANDS INC,DBI,2025-01-31,2024,25,2550,255040,25504010,458210,5661,45,458,56,5661
024176,NATERA INC,NTRA,2025-12-31,2025,35,3520,352010,35201010,621511,8071,62,621,80,8071
024177,SERES THERAPEUTICS INC,MCRB,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
024204,BLOOMIA HOLDINGS INC,TULP,2025-06-30,2025,50,5020,502010,50201010,522299,6159,52,522,61,6159
024293,KAISER ALUMINUM CORP,KALU,2025-12-31,2025,15,1510,151040,15104010,331318,3350,33,331,33,3350
024302,ALKERMES PLC,ALKS,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
024316,MONSTER BEVERAGE CORP,MNST,2025-12-31,2025,30,3020,302010,30201030,312111,2086,31,312,20,2086
024318,XL GROUP LTD,XL.1,2017-12-31,2017,40,4030,403010,40301040,524126,6351,52,524,63,6351
024330,SERITAGE GROWTH PROPERTIES,SRG,2025-12-31,2025,60,6020,602010,60201020,531120,6512,53,531,65,6512
024344,VERTEX PHARMACEUTICALS INC,VRTX,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
024396,TIVITY HEALTH INC,TVTY,2021-12-31,2021,35,3510,351020,35102015,621999,8090,62,621,80,8090
